Job Title,Company Name,Job Qualifications,URL,Type,Work Hours,Kota,Georeferenced,Longitude,Latitude
Python Machine Learning,Demandlane,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",https://www.linkedin.com/jobs/search/?currentJobId=4014358169&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-Time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Python Machine Learning,Demandlane,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",https://www.linkedin.com/jobs/search/?currentJobId=4014358169&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-Time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Computer Aided Design Engineer,Eterna Indonesia,"3D Modeling, AutoCAD, Computer-Aided Design (CAD), Design Engineering, Revit, SketchUp, Solar PV Design, and Technical Drawing",https://www.linkedin.com/jobs/search/?currentJobId=3901312193&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-Time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Software Engineer,Videfly,"Amazon Web Services (AWS), Back-End Web Development, C++, JavaScript, Next.js, Node.js, OpenGL, Python (Programming Language), Software Development, and TypeScript",https://www.linkedin.com/jobs/search/?currentJobId=4016413337&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Artificial Intelligence Engineer,Crossover,"Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js",https://www.linkedin.com/jobs/search/?currentJobId=4017080713&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-Time,Surabaya,POINT (112.740515 -7.244582),112.740515,-7.244582
Platform Engineer,Shuffle Up,"Amazon Web Services (AWS), Container Orchestration, Containerization, Continuous Integration and Continuous Delivery (CI/CD), DevOps, Grafana, Infrastructure as code (IaC), Kubernetes, Scripting, Skill Development, and Unconscious Bias Awareness Training",https://www.linkedin.com/jobs/search/?currentJobId=3980306195&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Full-Time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Sales for AI Solutions,Teleakses Solusindo,"Account Management, Communication, Customer Satisfaction, Customer Service, Direct Sales, Negotiation, Sales, Sales Management, Sales Operations, and Sales Processes",https://www.linkedin.com/jobs/search/?currentJobId=4013806703&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Data Scientist,GoTo Group,"Data Science, Deep Learning, Engineering Documentation, Machine Learning, Pattern Recognition, Prediction, Predictive Analytics, PyTorch, Statistical Data Analysis, Technical Documentation",https://www.linkedin.com/jobs/search/?currentJobId=3992117571&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Scientist,Samsung Electronics,"Analytics, Data Science, English, Industrial Automation, Manufacturing Processes, Programming Languages, and Python (Programming Language)",https://www.linkedin.com/jobs/search/?currentJobId=4007781153&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-Site,Contract,Cikarang,POINT (106.95 -6.15),106.95,-6.15
Analys Programmer,PT Usaha Gedung Mandiri,"Computer Engineering, Computer Science, Databases, Git, JavaScript, Programming, Programming Languages, Python (Programming Language), SQL, SQL Database Administration, Software Development, Web Applications, and jQuery",https://www.linkedin.com/jobs/search/?currentJobId=4013459022&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Contributor,TransPerfect,"Data Entry, Email, Information Technology, and Spam Filtering",https://www.linkedin.com/jobs/search/?currentJobId=3960228593&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Remote,Contract,Surabaya,POINT (112.740515 -7.244582),112.740515,-7.244582
